oasis/routing/launchers/crl/ErrorLoggerMessage/,orl-all-error-logging-message
oasis/routing/launchers/crl/ErrorLoggerWebService/,orl-all-error-logger-web-service
oasis/routing/launchers/crl/GetUnprocessedDocuments/,orl-all-get-unprocessed-documents
oasis/routing/launchers/crl/LISResultsListener/,orl-all-lis-results-listener
oasis/routing/launchers/crl/LabWarePoller/,orl-all-lab-ware-poller
oasis/routing/launchers/crl/OlySorterTCPPoller/,orl-all-oly-sorter-tcp-poller
oasis/routing/launchers/crl/QuartzScheduler/,orl-all-quartz-scheduler
oasis/routing/launchers/crl/RouteStartWorkflowWebService/,orl-all-route-start-workflow-web-service
oasis/routing/launchers/crl/ScheduleContinueWorkflow/,orl-all-schedule-continue-workflow
oasis/routing/launchers/crl/ScheduleStartWorkflow/,orl-all-schedule-start-workflow
oasis/routing/launchers/crl/SorterScheduleContinueWorkflow/,orl-all-sorter-schedule-continue-workflow
oasis/routing/launchers/crl/TCPLauncher/,orl-all-tcp-launcher
oasis/routing/launchers/crl/WorkflowStarterConsole/,orl-all-workflow-starter-console
oasis/routing/launchers/crl/WorkflowStarterWebService/,orl-all-workflow-starter-web-service
oasis/routing/launchers/ils/ContinueMergeSorterFile/,orl-ils-continue-merge-sorter-file
oasis/routing/launchers/mdx/MDXImageToBillingLauncher/,orl-mdx-image-to-billing-launcher
oasis/routing/launchers/tls/StudyBillingServicePoller/,orl-tls-study-billing-service-poller
oasis/routing/launchers/tls/UrisysTCPPoller/,orl-tls-urisys-tcp-poller
oasis/routing/launchers/tms/TMSImageToBillingLauncher/,orl-tms-image-to-billing-launcher
oasis/routing/launchers/wls/StartOrderGenerationWorkflow/,orl-wls-start-order-generation-workflow
oasis/routing/launchers/wls/StartPreAnalyticalWorkflow/,orl-wls-start-pre-analytical-workflow
oasis/routing/processors/cls/CDFResultsToHL7/,orp-cls-cdf-results-to-hl7
oasis/routing/processors/cls/CLSAccountMaintenanceSweep/,orp-cls-account-maintenance-sweep
oasis/routing/processors/cls/CLSAddSampleComment/,orp-cls-add-sample-comment
oasis/routing/processors/cls/CLSAddSampleHold/,orp-cls-add-sample-hold
oasis/routing/processors/cls/CLSCompleteSampleTrackEvent/,orp-cls-complete-sample-track-event
oasis/routing/processors/cls/CLSContainerLookup/,orp-cls-container-lookup
oasis/routing/processors/cls/CLSCreateATGOrder/,orp-cls-create-atg-order
oasis/routing/processors/cls/CLSCreateLabwareOrder/,orp-cls-create-labware-order
oasis/routing/processors/cls/CLSDataEntryLoader/,orp-cls-data-entry-loader
oasis/routing/processors/cls/CLSDigitalSignatureProcessor/,orp-cls-digital-signature-processor
oasis/routing/processors/cls/CLSFaxPostProcess/,orp-cls-fax-post-process
oasis/routing/processors/cls/CLSHL7ORMToDBLoader/,orp-cls-hl7-orm-to-db-loader
oasis/routing/processors/cls/CLSHL7ORMToLIMS/,orp-cls-hl7-orm-to-lims
oasis/routing/processors/cls/CLSHL7ToDBLoader/,orp-cls-hl7-to-db-loader
oasis/routing/processors/cls/CLSHL7Validator/,orp-cls-hl7-validator
oasis/routing/processors/cls/CLSLISOrderToLWAdditionalOrder/,orp-cls-lis-order-to-lw-additional-order
oasis/routing/processors/cls/CLSLabwareProcessNonregulatedAccession/,orp-cls-labware-process-nonregulated-accession
oasis/routing/processors/cls/CLSLabwareProcessRegulatedAccession/,orp-cls-labware-process-regulated-accession
oasis/routing/processors/cls/CLSLabwareProcessSweatpatchAccession/,orp-cls-labware-process-sweatpatch-accession
oasis/routing/processors/cls/CLSLabwareSignature/,orpcls-labware-signature
oasis/routing/processors/cls/CLSMOCDocumentGenerator/,orp-cls-moc-document-generator
oasis/routing/processors/cls/CLSMOCFindPending/,orp-cls-moc-find-pending
oasis/routing/processors/cls/CLSMOCUpdateStatus/,orp-cls-moc-update-status
oasis/routing/processors/cls/CLSMarketplaceStatusServices/,orp-cls-marketplace-status-services
oasis/routing/processors/cls/CLSNotifyLWOrderStatusToLegacy/,orp-cls-notify-lw-order-status-to-legacy
oasis/routing/processors/cls/CLSProcessEligibilityFile/,orp-cls-process-eligibility-file
oasis/routing/processors/cls/CLSRefractometerInterface/,orp-cls-refractometer-interface
oasis/routing/processors/cls/CLSSampleHoldRetrieve/,orp-cls-sample-hold-retrieve
oasis/routing/processors/cls/CLSSampleTrackEventToAdditionallOrder/,orp-cls-sample-track-event-to-additional-order
oasis/routing/processors/cls/CLSSampleTrackEventToInitialOrder/,orp-cls-sample-track-event-to-initial-order
oasis/routing/processors/cls/CLSSetTransmitDate/,orp-cls-set-transmit-date
oasis/routing/processors/cls/CLSUpdateSample/,orp-cls-update-sample
oasis/routing/processors/cls/CLSUpdateSampleDonor/,orp-cls-update-sample-donor
oasis/routing/processors/cls/CLSUpdateSignatureQueueProcessor/,orp-cls-update-signature-queue-processor
